ID,DayClassification,DayClassificationID
1,Weekday,1
2,Weekday,2
3,Weekday,3
4,Weekday,4
5,Weekday,5
6,Weekday,6
7,Weekend,7
8,Weekend,8
9,Weekend,9
10,Weekend,10
11,Weekend,11
12,Weekend,12
13,Weekend,13
14,Weekday,14
15,Weekday,15
16,Weekday,16
17,Weekday,17
18,Weekday,18
19,Weekday,19
20,Weekday,20
21,Weekend,21
22,Weekend,22
23,Weekend,23
24,Weekend,24
25,Weekend,25
26,Weekend,26
27,Weekend,27
28,Weekend,28
29,Weekend,29
30,Weekend,30
31,Weekend,31
32,Weekend,32
33,Weekend,33
34,Weekend,34
35,Weekend,35
36,Weekend,36
37,Weekend,37
38,Weekend,38
39,Weekend,39
40,Weekend,40
41,Weekend,41
42,Weekend,42
43,Weekend,43
44,Weekend,44
45,Weekend,45
46,Weekend,46
47,Weekend,47
48,Weekend,48
49,Weekend,49
50,Weekend,50
51,Weekend,51
52,Weekend,52
53,Weekend,53
54,Weekend,54
55,Weekday,55
56,Weekday,56
57,Weekday,57
58,Weekday,58
59,Weekday,59
60,Weekday,60
61,Weekday,61
62,Weekday,62
63,Weekday,63
64,Weekday,64
65,Weekday,65
66,Weekday,66
67,Weekday,67
68,Weekday,68
69,Weekday,69
70,Weekday,70
71,Weekday,71
72,Weekday,72
73,Weekday,73
74,Weekday,74
75,Weekday,75
76,Weekday,76
77,Weekday,77
78,Weekday,78
79,Weekday,79
80,Weekday,80
81,Weekend,81
82,Weekend,82
83,Weekend,83
84,Weekday,84
85,Weekday,85
86,Weekday,86
87,Weekday,87
88,Weekday,88
89,Weekday,89
90,Weekday,90
91,Weekday,91
92,Weekday,92
93,Weekday,93
94,Weekday,94
95,Weekday,95
96,Weekday,96
97,Weekday,97
98,Weekday,98
99,Weekend,99
100,Weekend,100
101,Weekend,101
102,Weekend,102
103,Weekend,103
104,Weekend,104
105,Weekend,105
106,Weekend,106
107,Weekend,107
108,Weekend,108
109,Weekend,109
110,Weekend,110
111,Weekend,111
112,Weekend,112
113,Weekend,113
114,Weekend,114
115,Weekend,115
116,Weekend,116
117,Weekend,117
118,Weekend,118
119,Weekend,119
120,Weekend,120
121,Weekend,121
122,Weekend,122
123,Weekend,123
124,Weekend,124
125,Weekend,125
126,Weekend,126
127,Weekend,127
128,Weekend,128
129,Weekend,129
130,Weekend,130
131,Weekday,131
132,Weekday,132
133,Weekday,133
134,Weekday,134
135,Weekday,135
136,Weekday,136
137,Weekday,137
138,Weekday,138
139,Weekday,139
140,Weekday,140
141,Weekday,141
142,Weekday,142
143,Weekday,143
144,Weekday,144
145,Weekday,145
146,Weekday,146
147,Weekday,147
148,Weekday,148
149,Weekday,149
150,Weekday,150
151,Weekday,151
152,Weekday,152
153,Weekday,153
154,Weekday,154
155,Weekday,155
156,Weekday,156
157,Weekday,157
158,Weekday,158
159,Weekday,159
160,Weekday,160
161,Weekday,161
162,Weekday,162
163,Weekday,163
164,Weekday,164
165,Weekday,165
166,Weekday,166
167,Weekday,167
168,Weekday,168
169,Weekday,169
170,Weekday,170
171,Weekday,171
172,Weekday,172
173,Weekday,173
174,Weekday,174
175,Weekday,175
176,Weekday,176
177,Weekday,177
178,Weekday,178
179,Weekend,179
180,Weekend,180
181,Weekend,181
182,Weekend,182
