ID,ChristmasPeriod,EasterPeriod,HolidayPeriodID
1,Yes,No,1
2,No,No,2
3,Yes,No,3
4,No,No,4
5,No,No,5
6,Yes,No,6
7,No,No,7
8,No,No,8
9,No,No,9
10,No,No,10
11,No,No,11
12,No,No,12
13,No,No,13
14,No,No,14
15,No,No,15
16,Yes,No,16
17,No,No,17
18,Yes,No,18
19,No,No,19
20,No,No,20
21,No,No,21
22,No,No,22
23,No,No,23
24,Yes,No,24
25,Yes,No,25
26,Yes,No,26
27,Yes,No,27
28,Yes,No,28
29,Yes,No,29
30,Yes,No,30
31,No,No,31
32,No,No,32
33,No,No,33
34,No,No,34
35,No,No,35
36,No,No,36
37,No,No,37
38,No,No,38
39,No,No,39
40,No,No,40
41,No,No,41
42,No,No,42
43,No,No,43
44,No,No,44
45,No,No,45
46,No,No,46
47,No,No,47
48,No,No,48
49,No,No,49
50,No,No,50
51,No,No,51
52,No,No,52
53,No,No,53
54,No,No,54
55,No,No,55
56,No,No,56
57,No,No,57
58,Yes,No,58
59,Yes,No,59
60,Yes,No,60
61,No,No,61
62,No,No,62
63,Yes,No,63
64,No,No,64
65,No,No,65
66,No,No,66
67,Yes,No,67
68,No,No,68
69,No,No,69
70,Yes,No,70
71,Yes,No,71
72,No,No,72
73,No,No,73
74,No,No,74
75,No,No,75
76,No,No,76
77,No,No,77
78,No,No,78
79,No,No,79
80,No,No,80
81,No,No,81
82,No,No,82
83,No,No,83
84,No,No,84
85,No,No,85
86,No,No,86
87,No,No,87
88,No,No,88
89,No,No,89
90,No,No,90
91,No,No,91
92,No,No,92
93,No,No,93
94,No,No,94
95,No,No,95
96,No,No,96
97,No,No,97
98,No,No,98
99,No,No,99
100,No,No,100
101,No,No,101
102,No,No,102
103,No,No,103
104,No,No,104
105,No,No,105
106,No,No,106
107,No,No,107
108,No,No,108
109,No,No,109
110,No,No,110
111,No,No,111
112,No,No,112
113,No,No,113
114,No,No,114
115,No,No,115
116,No,No,116
117,No,No,117
118,No,No,118
119,No,No,119
120,No,No,120
121,No,No,121
122,No,No,122
123,No,No,123
124,No,No,124
