ID,RoadUser,Gender,Age,AgeGroup,PersonID
1,Driver,Male,74,65_to_74,1
2,Driver,Female,19,17_to_25,2
3,Driver,Female,33,26_to_39,3
4,Driver,Female,32,26_to_39,4
5,Passenger,Female,61,40_to_64,5
6,Motorcycle rider,Male,47,40_to_64,6
7,Passenger,Female,29,26_to_39,7
8,Motorcycle rider,Male,19,17_to_25,8
9,Driver,Female,55,40_to_64,9
10,Driver,Female,45,40_to_64,10
11,Pedestrian,Male,50,40_to_64,11
12,Driver,Male,45,40_to_64,12
13,Driver,Male,61,40_to_64,13
14,Pedestrian,Male,74,65_to_74,14
15,Driver,Male,25,17_to_25,15
16,Pedestrian,Male,4,0_to_16,16
17,Driver,Male,27,26_to_39,17
18,Driver,Male,66,65_to_74,18
19,Driver,Male,27,26_to_39,19
20,Pedestrian,Female,65,65_to_74,20
21,Driver,Male,32,26_to_39,21
22,Driver,Male,25,17_to_25,22
23,Motorcycle rider,Male,69,65_to_74,23
24,Driver,Female,59,40_to_64,24
25,Passenger,Female,68,65_to_74,25
26,Motorcycle rider,Male,69,65_to_74,26
27,Passenger,Female,68,65_to_74,27
28,Driver,Male,76,75_or_older,28
29,Motorcycle rider,Male,35,26_to_39,29
30,Motorcycle rider,Male,55,40_to_64,30
31,Motorcycle rider,Male,63,40_to_64,31
32,Passenger,Female,66,65_to_74,32
33,Pedal cyclist,Male,61,40_to_64,33
34,Driver,Female,30,26_to_39,34
35,Driver,Male,34,26_to_39,35
36,Driver,Male,26,26_to_39,36
37,Motorcycle rider,Male,46,40_to_64,37
38,Pedestrian,Female,50,40_to_64,38
39,Pedestrian,Female,85,75_or_older,39
40,Driver,Female,92,75_or_older,40
41,Driver,Male,76,75_or_older,41
42,Motorcycle rider,Male,60,40_to_64,42
43,Driver,Female,74,65_to_74,43
44,Motorcycle rider,Male,26,26_to_39,44
45,Driver,Female,60,40_to_64,45
46,Passenger,Female,59,40_to_64,46
47,Motorcycle rider,Male,45,40_to_64,47
48,Driver,Female,90,75_or_older,48
49,Driver,Male,32,26_to_39,49
50,Driver,Male,49,40_to_64,50
51,Driver,Male,21,17_to_25,51
52,Passenger,Male,21,17_to_25,52
53,Driver,Male,16,0_to_16,53
54,Passenger,Female,22,17_to_25,54
55,Driver,Female,21,17_to_25,55
56,Passenger,Male,23,17_to_25,56
57,Passenger,Female,80,75_or_older,57
58,Passenger,Male,23,17_to_25,58
59,Pedestrian,Female,64,40_to_64,59
60,Driver,Female,17,17_to_25,60
61,Motorcycle rider,Male,71,65_to_74,61
62,Driver,Male,66,65_to_74,62
63,Motorcycle rider,Male,60,40_to_64,63
64,Driver,Male,54,40_to_64,64
65,Motorcycle rider,Male,18,17_to_25,65
66,Driver,Male,24,17_to_25,66
67,Pedestrian,Male,27,26_to_39,67
68,Driver,Male,38,26_to_39,68
69,Passenger,Female,97,75_or_older,69
70,Driver,Male,83,75_or_older,70
71,Driver,Male,49,40_to_64,71
72,Driver,Male,36,26_to_39,72
73,Driver,Male,70,65_to_74,73
74,Driver,Female,29,26_to_39,74
75,Motorcycle rider,Male,26,26_to_39,75
76,Driver,Male,43,40_to_64,76
77,Motorcycle rider,Male,61,40_to_64,77
78,Driver,Male,52,40_to_64,78
79,Motorcycle rider,Male,22,17_to_25,79
80,Driver,Male,53,40_to_64,80
81,Motorcycle rider,Male,44,40_to_64,81
82,Passenger,Female,57,40_to_64,82
83,Driver,Male,18,17_to_25,83
84,Passenger,Male,18,17_to_25,84
85,Driver,Male,53,40_to_64,85
86,Motorcycle rider,Male,25,17_to_25,86
87,Passenger,Female,44,40_to_64,87
88,Passenger,Female,64,40_to_64,88
89,Driver,Male,17,17_to_25,89
90,Pedestrian,Female,43,40_to_64,90
91,Driver,Female,83,75_or_older,91
92,Pedal cyclist,Male,71,65_to_74,92
93,Motorcycle rider,Male,69,65_to_74,93
94,Passenger,Male,87,75_or_older,94
95,Pedestrian,Female,58,40_to_64,95
96,Driver,Male,45,40_to_64,96
