ID,TimeClassification,TimeClassificationID
1,Night,1
2,Day,2
3,Day,3
4,Day,4
5,Day,5
6,Day,6
7,Night,7
8,Night,8
9,Night,9
10,Night,10
11,Night,11
12,Night,12
13,Night,13
14,Day,14
15,Day,15
16,Day,16
17,Day,17
18,Day,18
19,Day,19
20,Day,20
21,Night,21
22,Night,22
23,Day,23
24,Day,24
25,Day,25
26,Day,26
27,Day,27
28,Day,28
29,Day,29
30,Day,30
31,Day,31
32,Day,32
33,Day,33
34,Day,34
35,Night,35
36,Night,36
37,Night,37
38,Day,38
39,Day,39
40,Day,40
41,Day,41
42,Day,42
43,Day,43
44,Day,44
45,Day,45
46,Day,46
47,Day,47
48,Day,48
49,Day,49
50,Night,50
51,Night,51
52,Night,52
53,Night,53
54,Night,54
55,Night,55
56,Day,56
57,Day,57
58,Night,58
59,Day,59
60,Day,60
61,Day,61
62,Day,62
63,Night,63
64,Night,64
65,Night,65
66,Night,66
67,Night,67
68,Night,68
69,Day,69
70,Day,70
71,Day,71
72,Night,72
73,Night,73
74,Day,74
75,Day,75
76,Day,76
77,Day,77
78,Day,78
79,Day,79
80,Day,80
81,Night,81
82,Night,82
83,Night,83
84,Day,84
85,Day,85
86,Day,86
87,Day,87
88,Day,88
89,Day,89
90,Day,90
91,Day,91
92,Day,92
93,Day,93
94,Day,94
95,Day,95
96,Day,96
97,Night,97
98,Night,98
99,Night,99
100,Day,100
101,Day,101
102,Day,102
103,Day,103
104,Day,104
105,Day,105
106,Day,106
107,Day,107
108,Day,108
109,Night,109
110,Night,110
111,Night,111
112,Night,112
113,Night,113
114,Night,114
115,Night,115
116,Night,116
117,Night,117
118,Night,118
119,Night,119
120,Night,120
121,Day,121
122,Day,122
123,Day,123
124,Day,124
125,Day,125
126,Day,126
127,Day,127
128,Day,128
129,Day,129
130,Night,130
131,Night,131
132,Night,132
133,Night,133
134,Night,134
135,Night,135
136,Night,136
137,Day,137
138,Day,138
139,Day,139
140,Day,140
141,Day,141
142,Day,142
143,Night,143
144,Night,144
145,Day,145
146,Day,146
147,Day,147
148,Day,148
149,Day,149
150,Day,150
151,Day,151
152,Day,152
153,Day,153
154,Day,154
155,Day,155
156,Day,156
157,Day,157
158,Day,158
159,Day,159
160,Night,160
161,Night,161
162,Night,162
163,Day,163
164,Night,164
165,Night,165
166,Night,166
167,Day,167
168,Day,168
169,Day,169
170,Day,170
171,Day,171
172,Day,172
173,Day,173
174,Day,174
175,Day,175
176,Day,176
177,Day,177
178,Day,178
179,Night,179
180,Night,180
181,Night,181
182,Night,182
183,Night,183
184,Night,184
185,Night,185
186,Night,186
187,Day,187
188,Day,188
189,Day,189
190,Night,190
191,Night,191
192,Night,192
193,Night,193
194,Night,194
195,Day,195
196,Day,196
197,Day,197
198,Day,198
199,Day,199
200,Night,200
201,Night,201
202,Night,202
203,Day,203
204,Day,204
205,Day,205
206,Day,206
207,Day,207
208,Day,208
209,Day,209
210,Day,210
211,Day,211
212,Day,212
213,Day,213
214,Day,214
215,Day,215
216,Day,216
217,Day,217
218,Night,218
219,Night,219
220,Day,220
221,Day,221
222,Day,222
223,Day,223
224,Day,224
225,Day,225
226,Day,226
227,Day,227
228,Day,228
229,Day,229
230,Day,230
231,Day,231
232,Day,232
233,Night,233
234,Night,234
235,Night,235
236,Night,236
237,Night,237
238,Day,238
239,Day,239
240,Night,240
241,Night,241
242,Night,242
243,Day,243
244,Day,244
