ID,BusInvolvement,HeavyRigidTruckInvolvement,ArticulatedTruckInvolvement,SpeedLimit,VehicleTypeID
1,No,No,No,100,1
2,No,No,No,80,2
3,No,No,No,50,3
4,No,No,No,100,4
5,No,No,No,100,5
6,No,No,No,100,6
7,No,No,No,60,7
8,No,No,No,50,8
9,No,No,No,100,9
10,No,No,No,50,10
11,No,No,No,70,11
12,No,No,Yes,110,12
13,No,No,No,100,13
14,No,No,No,80,14
15,No,No,Yes,60,15
16,No,No,No,60,16
17,No,No,No,100,17
18,No,No,No,100,18
19,No,No,No,100,19
20,No,No,No,40,20
21,Yes,No,Yes,110,21
22,No,No,No,100,22
23,No,No,No,100,23
24,No,No,No,110,24
25,No,No,No,110,25
26,No,No,No,50,26
27,No,No,No,100,27
28,No,No,No,100,28
29,No,No,No,50,29
30,No,No,No,100,30
31,No,Yes,No,70,31
32,No,No,No,100,32
33,No,No,No,100,33
34,No,No,No,100,34
35,No,No,No,80,35
36,No,No,Yes,110,36
37,No,No,No,100,37
38,No,No,No,50,38
39,No,No,No,50,39
40,No,No,No,50,40
41,No,No,No,100,41
42,No,No,No,60,42
43,No,No,No,100,43
44,No,No,No,90,44
45,No,No,No,100,45
46,No,No,No,100,46
47,No,No,No,100,47
48,No,No,No,60,48
49,No,No,No,100,49
50,No,No,No,100,50
51,No,No,No,100,51
52,No,No,No,100,52
53,No,No,No,60,53
54,No,No,No,60,54
55,No,No,No,60,55
56,No,No,Yes,100,56
57,No,No,No,100,57
58,No,No,No,60,58
59,No,No,Yes,110,59
60,No,No,No,60,60
61,No,No,No,100,61
62,No,No,No,80,62
63,No,No,No,100,63
64,No,Yes,Yes,80,64
65,Yes,No,No,50,65
66,No,No,Yes,100,66
67,No,No,No,100,67
68,No,No,No,90,68
69,No,No,No,110,69
70,No,No,No,80,70
71,No,No,No,100,71
72,No,No,Yes,100,72
73,No,No,No,100,73
74,No,No,No,60,74
75,No,No,No,70,75
76,No,No,No,100,76
77,No,No,No,100,77
78,No,No,No,100,78
79,No,No,No,100,79
80,No,No,No,110,80
81,No,No,No,100,81
82,No,No,No,80,82
83,No,No,No,60,83
84,No,No,No,50,84
85,No,No,No,60,85
86,No,No,No,60,86
87,No,No,No,100,87
